 
****************************************
Report : area
Design : worker
Version: O-2018.06
Date   : Sun Jan 12 20:35:40 2020
****************************************

Library(s) Used:

    saed32hvt_ss0p95v125c (File: /usr/cadtool/SAED32_EDK/lib/stdcell_hvt/db_nldm/saed32hvt_ss0p95v125c.db)

Number of ports:                         1931
Number of nets:                         30690
Number of cells:                        24435
Number of combinational cells:          17552
Number of sequential cells:              6840
Number of macros/black boxes:               0
Number of buf/inv:                       1398
Number of references:                      79

Combinational area:              48290.409600
Buf/Inv area:                     1824.245638
Noncombinational area:           45131.401283
Macro/Black Box area:                0.000000
Net Interconnect area:           33939.753641

Total cell area:                 93421.810883
Total area:                     127361.564524

Hierarchical area distribution
------------------------------

                                  Global cell area            Local cell area
                                  -------------------  ------------------------------ 
Hierarchical cell                 Absolute    Percent  Combi-      Noncombi-   Black-
                                  Total       Total    national    national    boxes   Design
--------------------------------  ----------  -------  ----------  ----------  ------  ---------------------------------------
worker                            93421.8109    100.0  48148.3431  44912.8374  0.0000  worker
clk_gate_next_waddr_reg               8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_0
clk_gate_proposal_cnt_reg_0_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_16
clk_gate_proposal_cnt_reg_10_         8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_6
clk_gate_proposal_cnt_reg_11_         8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_5
clk_gate_proposal_cnt_reg_12_         8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_4
clk_gate_proposal_cnt_reg_13_         8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_3
clk_gate_proposal_cnt_reg_14_         8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_2
clk_gate_proposal_cnt_reg_15_         8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_1
clk_gate_proposal_cnt_reg_1_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_15
clk_gate_proposal_cnt_reg_2_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_14
clk_gate_proposal_cnt_reg_3_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_13
clk_gate_proposal_cnt_reg_4_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_12
clk_gate_proposal_cnt_reg_5_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_11
clk_gate_proposal_cnt_reg_6_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_10
clk_gate_proposal_cnt_reg_7_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_9
clk_gate_proposal_cnt_reg_8_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_8
clk_gate_proposal_cnt_reg_9_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_7
clk_gate_vid_reg_reg_0_               8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_42
clk_gate_vid_reg_reg_0__0             8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_41
clk_gate_vid_reg_reg_10_              8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_26
clk_gate_vid_reg_reg_10__0            8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_25
clk_gate_vid_reg_reg_11_              8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_24
clk_gate_vid_reg_reg_11__0            8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_23
clk_gate_vid_reg_reg_12_              8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_22
clk_gate_vid_reg_reg_13_              8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_21
clk_gate_vid_reg_reg_13__0            8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_20
clk_gate_vid_reg_reg_14_              8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_19
clk_gate_vid_reg_reg_14__0            8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_18
clk_gate_vid_reg_reg_15_              8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_17
clk_gate_vid_reg_reg_1_               8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_40
clk_gate_vid_reg_reg_1__0             8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_39
clk_gate_vid_reg_reg_2_               8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_38
clk_gate_vid_reg_reg_3_               8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_37
clk_gate_vid_reg_reg_3__0             8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_36
clk_gate_vid_reg_reg_4_               8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_35
clk_gate_vid_reg_reg_5_               8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_34
clk_gate_vid_reg_reg_5__0             8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_33
clk_gate_vid_reg_reg_6_               8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_32
clk_gate_vid_reg_reg_6__0             8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_31
clk_gate_vid_reg_reg_7_               8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_30
clk_gate_vid_reg_reg_8_               8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_29
